Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
0.6363636363636362,0.4893617021276596,0.5079365079365079,0.8604651162790697,0.4556962025316455
0.5909090909090908,0.9148936170212766,0.8571428571428572,0.5116279069767442,0.20253164556962022
0.6136363636363635,0.3404255319148936,0.8571428571428572,0.627906976744186,0.2151898734177215
0.6590909090909092,0.7021276595744681,0.7301587301587301,0.7209302325581395,0.5316455696202531
0.18181818181818182,0.8297872340425532,0.36507936507936506,0.627906976744186,0.5569620253164556
0.6363636363636362,0.7446808510638299,0.7619047619047619,0.7906976744186047,0.5949367088607593
0.4318181818181818,0.8936170212765958,0.49206349206349204,0.7906976744186047,0.4177215189873417
0.7045454545454546,0.7234042553191489,0.8730158730158729,0.744186046511628,0.4683544303797468
0.11363636363636359,0.7021276595744681,0.47619047619047616,0.6511627906976744,0.48101265822784806
0.6136363636363635,0.3829787234042553,0.7619047619047619,0.5348837209302325,0.36708860759493667
0.75,0.08510638297872344,0.8571428571428572,0.7674418604651163,0.36708860759493667
0.6363636363636362,0.2553191489361702,0.7936507936507936,0.37209302325581395,0.5696202531645569
0.3181818181818182,0.8723404255319148,0.9523809523809523,0.2558139534883721,0.06329113924050632
0.7954545454545454,0.4255319148936171,0.8095238095238094,0.7209302325581395,0.48101265822784806
0.909090909090909,0.19148936170212771,0.746031746031746,0.9534883720930232,0.2911392405063291
0.75,0.9148936170212766,0.9047619047619048,0.4651162790697675,0.18987341772151894
0.7272727272727273,0.6170212765957447,0.8095238095238094,0.6976744186046512,0.48101265822784806
0.75,0.3404255319148936,0.8253968253968254,0.37209302325581395,0.620253164556962
0.6590909090909092,0.7872340425531916,0.7619047619047619,0.744186046511628,0.49367088607594933
0.47727272727272724,0.2553191489361702,0.7142857142857143,0.4651162790697675,0.6835443037974682
0.75,0.3404255319148936,0.9206349206349206,0.5813953488372093,0.5316455696202531
0.6363636363636362,0.7659574468085106,0.6666666666666666,0.8837209302325582,0.3797468354430379
0.75,0.08510638297872344,0.9206349206349206,0.6976744186046512,0.40506329113924044
0.8409090909090908,0.6170212765957447,0.33333333333333337,0.8604651162790697,0.39240506329113917
0.4318181818181818,0.851063829787234,0.6984126984126984,0.2790697674418605,0.6329113924050631
0.4318181818181818,0.44680851063829785,0.9047619047619048,0.5813953488372093,0.3797468354430379
0.3181818181818182,0.5531914893617021,0.4603174603174603,0.4418604651162791,0.721518987341772
0.5909090909090908,0.5106382978723405,0.746031746031746,0.5348837209302325,0.721518987341772
0.7045454545454546,0.7234042553191489,0.7777777777777777,0.744186046511628,0.5443037974683543
0.045454545454545414,0.7659574468085106,0.6507936507936507,0.5348837209302325,0.40506329113924044
0.20454545454545453,0.8723404255319148,0.9523809523809523,0.13953488372093023,0.0
0.6818181818181817,0.06382978723404256,0.9841269841269841,0.6976744186046512,0.3417721518987341
